Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,214.509995,217.320007,213.350006,216.210007,216.210007,30931300
2020-12-02,214.880005,215.470001,212.800003,215.369995,215.369995,23724500
2020-12-03,214.610001,216.380005,213.649994,214.240005,214.240005,25120900
2020-12-04,214.220001,215.380005,213.179993,214.360001,214.360001,24666000
2020-12-07,214.369995,215.539993,212.990005,214.289993,214.289993,24620000
2020-12-08,213.970001,216.949997,212.889999,216.009995,216.009995,23284100
2020-12-09,215.160004,215.229996,211.210007,211.800003,211.800003,32440600
2020-12-10,211.770004,213.080002,210.360001,210.520004,210.520004,26733300
2020-12-11,210.050003,213.320007,209.110001,213.259995,213.259995,30979400
2020-12-14,213.100006,216.210007,212.880005,214.199997,214.199997,28798400
2020-12-15,215.169998,215.419998,212.240005,214.130005,214.130005,27018100
2020-12-16,214.750000,220.110001,214.720001,219.279999,219.279999,35023300
2020-12-17,219.869995,220.889999,217.919998,219.419998,219.419998,32515800
2020-12-18,218.589996,219.690002,216.020004,218.589996,218.589996,63354900
2020-12-21,217.550003,224.000000,217.279999,222.589996,222.589996,37181900
2020-12-22,222.690002,225.630005,221.850006,223.940002,223.940002,22612200
2020-12-23,223.110001,223.559998,220.800003,221.020004,221.020004,18699600
2020-12-24,221.419998,223.610001,221.199997,222.750000,222.750000,10550600
